time,local_time,electricity,wind_speed
1/1/2019 0:00,12/31/2018 16:00,162.432,5.469
1/1/2019 1:00,12/31/2018 17:00,248.069,6.311
1/1/2019 2:00,12/31/2018 18:00,408.292,7.595
1/1/2019 3:00,12/31/2018 19:00,560.962,8.752
1/1/2019 4:00,12/31/2018 20:00,643.531,9.423
1/1/2019 5:00,12/31/2018 21:00,665.403,9.623
1/1/2019 6:00,12/31/2018 22:00,654.096,9.523
1/1/2019 7:00,12/31/2018 23:00,651.553,9.496
1/1/2019 8:00,1/1/2019 0:00,676.899,9.728
1/1/2019 9:00,1/1/2019 1:00,676.09,9.714
1/1/2019 10:00,1/1/2019 2:00,698.419,9.921
1/1/2019 11:00,1/1/2019 3:00,742.038,10.368
1/1/2019 12:00,1/1/2019 4:00,746.407,10.417
1/1/2019 13:00,1/1/2019 5:00,734.11,10.291
1/1/2019 14:00,1/1/2019 6:00,713.7,10.075
1/1/2019 15:00,1/1/2019 7:00,698.367,9.93
1/1/2019 16:00,1/1/2019 8:00,703.963,9.984
1/1/2019 17:00,1/1/2019 9:00,819.842,11.351
1/1/2019 18:00,1/1/2019 10:00,801.562,11.094
1/1/2019 19:00,1/1/2019 11:00,742.804,10.385
1/1/2019 20:00,1/1/2019 12:00,708.166,10.026
1/1/2019 21:00,1/1/2019 13:00,685.053,9.803
1/1/2019 22:00,1/1/2019 14:00,624.752,9.265
1/1/2019 23:00,1/1/2019 15:00,553.096,8.687
1/2/2019 0:00,1/1/2019 16:00,492.557,8.231
1/2/2019 1:00,1/1/2019 17:00,454.353,7.945
1/2/2019 2:00,1/1/2019 18:00,389.768,7.46
1/2/2019 3:00,1/1/2019 19:00,338.023,7.06
1/2/2019 4:00,1/1/2019 20:00,276.177,6.555
1/2/2019 5:00,1/1/2019 21:00,220.919,6.063
1/2/2019 6:00,1/1/2019 22:00,202.524,5.886
1/2/2019 7:00,1/1/2019 23:00,198.448,5.846
1/2/2019 8:00,1/2/2019 0:00,181.738,5.676
1/2/2019 9:00,1/2/2019 1:00,122.745,5.001
1/2/2019 10:00,1/2/2019 2:00,113.873,4.876
1/2/2019 11:00,1/2/2019 3:00,181.305,5.672
1/2/2019 12:00,1/2/2019 4:00,251.304,6.337
1/2/2019 13:00,1/2/2019 5:00,227.194,6.121
1/2/2019 14:00,1/2/2019 6:00,139.17,5.197
1/2/2019 15:00,1/2/2019 7:00,87.523,4.512
1/2/2019 16:00,1/2/2019 8:00,60.805,4.068
1/2/2019 17:00,1/2/2019 9:00,108.987,4.819
1/2/2019 18:00,1/2/2019 10:00,101.942,4.723
1/2/2019 19:00,1/2/2019 11:00,52.349,3.899
1/2/2019 20:00,1/2/2019 12:00,8.653,2.643
1/2/2019 21:00,1/2/2019 13:00,0.051,1.279
1/2/2019 22:00,1/2/2019 14:00,0.032,1.208
1/2/2019 23:00,1/2/2019 15:00,12.224,2.819
